Hãng Sản Xuất,Độ Dày,Trọng Lượng,khoi_luong,CPU,RAM,Bộ Nhớ,HDD,SSD,GPU,Dung Lượng Pin,Hệ Điều Hành,Mạng WiFi,Bluetooth,Âm Thanh,Bảo Mật,Đọc Thẻ,Mạng LAN,Bàn Phím,Màu Sắc,Chất Liệu,Cổng Giao Tiếp,Khe Cắm,Màn Hình,Phụ Kiện Đi Kèm,Khả Năng Nâng Cấp,Ổ Đĩa Quang,Đèn Led,Nguồn,Tính Năng Khác,Tên Sản Phẩm,Giá Bán,Loại Sản Phẩm,Mẫu Mã,Số Cổng Lưu Trữ Tối Đa,Kết Nối,Webcam,Camera,Kết Nối Không Dây,Giao Tiếp Mạng,NPU,Cổng IO,Cổng Xuất Hình,Loa,Năm Sản Xuất,Thiết Kế Chất Liệu Vỏ,Hệ Điều Hành Bản Quyền Đi Kèm,Phần Mềm Có Sẵn,Card Mở Rộng,Unnamed 161,Mãy Tính Xách Tay
,,,1.80 kg,,,512GB M.2 NVMe™ PCIe® 4.0 SSD,,,NVIDIA® GeForce RTX 4050,"70WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,Wi-Fi 6E(802.11ax) (Dual band) 2*2 +  bluetooth v5.3,,2 Loa,Vân tay,,,Keyboard Laptop + Touchpad,Đen,,"2x USB 3.2 Gen 1 Type-A
1x Thunderbolt™ 4 hỗ trợ display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",,16-inch WUXGA 16:10 IPS 144Hz 300nits 45% NTSC,,,,,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal",,Laptop Asus Gaming Vivobook K3605ZU-RP296W Đen,22890000.0,,Vivobook K3605ZU-RP296W,,,720p HD camera ; With privacy shutter,,,,,,,,,,,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX",,,
Dell,,,,"Intel Core i5- 1355U,  10 nhân 12 luồng Tốc độ tối đa 5.0 GHz 12 MB",,"512GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",,,Intel Iris Xe Graphics,"3-cell, 54 Wh",Windows 11 Home + Office Home and Student 2021,,,,Vân tay,,,,,,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI",,"15.6"" FHD (1920 x 1080) 45% NTSC 120Hz, 250nits",,,,,65 W,,Laptop Dell Inspiron 15 3530 - N5I7301W1 Black,21190000.0,Máy tính xách tay,Inspiron 15 3530 - N5I7301W1,,,,,Wi-Fi 6 (802.11ax)Bluetooth 5.3,,,,,,,,,,,,
,,,,,,512GB M.2 NVMe PCIe 4.0 SSD (Trống 1 slot M.2 NVMe),,,NVIDIA® GeForce RTX 4050 6GB GDDR6,"90WHrs, 4S1P, 4 cell Li-ion",Windows 11 Home,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card,,"AI noise-canceling technology
Dolby Atmos
Hi-Res certification
Smart Amp Technology
Hỗ trợ Microsoft Cortana near field/Far field","Tính năng bảo vệ mật khẩu admin BIOS và mật khẩu người dùng
Trusted Platform Module (Firmware TPM)",,,Keyboard Laptop + Touchpad,,,"1x RJ45 LAN port
1x Thunderbolt™ 4 hỗ trợ DisplayPort™
1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™ / power delivery / G-SYNC
2x USB 3.2 Gen 2 Type-A",,"16 inch IPS QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz 3ms, 100% DCI-P3, chống chói, G-Sync, đạt chuẩn Pantone, ROG Nebula Display",,,,,"ø6.0, 280W AC Adapter, Output: 20V DC, 14A, 280W, Input: 100~240C AC 50/60Hz universal",,Laptop Asus ROG Strix G16 G614JU-N4132W Xám,35990000.0,,ROG Strix G16 G614JU-N4132W,,,720P HD camera,,,,,,,,,,,"Armoury Crate
McAfee® dùng thử 30 ngày",,,
HP,"31,56 x 22,4 x 1,92cm","1,38 kg",,"AMD Ryzen™ 7 PRO 7840U (xung nhịp tăng cường tối đa lên đến 5,1 GHz, bộ nhớ đệm L3 16 MB, 8 lõi, 16 luồng)",RAM 16 GB DDR5-5600 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"2 x Thunderbolt™ 4 với tốc độ truyền tín hiệu USB Type-C® 40Gbps (USB Power Delivery, DisplayPort™ 1.4)
2 x USB Type-A tốc độ truyền tín hiệu 5Gbps (1 sạc)
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi",,"14"", WUXGA (1920 x 1200), cảm ứng, IPS, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP EliteBook 845 G10 876J3PA Bạc,33990000.0,,Laptop HP EliteBook 845 G10 876J3PA Bạc,,,Camera hồng ngoại 5MP,,,,,,,,,,,,,,
HP,"31,56 x 22,4 x 1,92cm","1,38 kg",,"AMD Ryzen™ 5 PRO 7540U (xung nhịp tăng tối đa lên đến 4,9 GHz, bộ nhớ đệm L3 16 MB, 6 lõi, 12 luồng)",RAM 16 GB DDR5-5600 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"2 x Thunderbolt™ 4 với tốc độ truyền tín hiệu USB Type-C® 40Gbps (USB Power Delivery, DisplayPort™ 1.4)
2 x USB Type-A tốc độ truyền tín hiệu 5Gbps (1 sạc)
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi",,"14"", WUXGA (1920 x 1200), cảm ứng, IPS, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP EliteBook 845 G10 876J2PA Bạc,28690000.0,,Laptop HP EliteBook 845 G10 876J2PA Bạc,,,Camera hồng ngoại 5MP,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 7 7730U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 8 lõi, 16 luồng)",RAM 16 GB DDR4-3200 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"15,6 inch, FHD (1920 x 1080), cảm ứng, IPS, viền hẹp, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 455 G10 878T8PA Bạc,20890000.0,,Laptop HP Probook 455 G10 878T8PA Bạc,,,720p HD camera,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 7 7730U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 8 lõi, 16 luồng)",RAM 16 GB DDR4-3200 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"14"", FHD (1920 x 1080), IPS, viền hẹp, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 445 G10 9H8X7PT Bạc,20890000.0,,HP Probook 445 G10 9H8X7PT,,,720p HD camera,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 5 7530U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 6 lõi, 12 luồng)",RAM 16 GB DDR4-3200 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"15,6 inch, FHD (1920 x 1080), cảm ứng, IPS, viền hẹp, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 455 G10 878U6PA Bạc,18590000.0,,HP Probook 455 G10 878U6PA,,,720p HD camera,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 5 7530U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 6 lõi, 12 luồng)",RAM 16 GB DDR4-3200 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"14"", FHD (1920 x 1080), IPS, viền hẹp, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 445 G10 9H8X5PT Bạc,17790000.0,,HP Probook 445 G10 9H8X5PT,,,720p HD camera,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 7 7730U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 8 lõi, 16 luồng)",RAM 16 GB DDR4-3200 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"14"", FHD (1920 x 1080), cảm ứng, IPS, viền hẹp, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 445 G10 878T9PA Bạc,22590000.0,,HP Probook 445 G10 878T9PA,,,720p HD camera,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 5 7530U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 6 lõi, 12 luồng)",RAM 16 GB DDR4-3200 MHz (1 x 16 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"14"", FHD (1920 x 1080), cảm ứng, IPS, viền hẹp, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 445 G10 878T4PA Bạc,18490000.0,,Probook 445 G10 878T4PA,,,720p HD camera,,,,,,,,,,,,,,
HP,35.94 x 23.39 x 1.99 cm,"1,38 kg",,"AMD Ryzen™ 5 7530U (xung nhịp tăng cường tối đa lên đến 4,5 GHz, bộ nhớ đệm L3 16 MB, 6 lõi, 12 luồng)",RAM 8 GB DDR4-3200 MHz (1 x 8 GB),,,,Đồ họa AMD Radeon,"3-cell, 51 Wh",Windows 11 Home,Wi-Fi 6E RTL8852CE (2x2),,,Vân tay,,,,Bạc,,"1 x USB Type-C® tốc độ truyền tín hiệu 10Gbps (USB Power Delivery, DisplayPort™ 1.4)
3 x USB Type-A tốc độ truyền tín hiệu 5Gbps
1 x nguồn AC
1 x HDMI 2.1
1 x giắc cắm kết hợp tai nghe/micrô âm thanh nổi
1 x RJ-45",,"14"", FHD (1920 x 1080), IPS, viền hẹp, chống chói, 250 nits, 45% NTSC",,,,,,,Laptop HP Probook 445 G10 9H8X4PT Bạc,16890000.0,,HP Probook 445 G10 9H8X4PT,,,720p HD camera,,,,,,,,,,,,,,
Hp,"30,69 x 20,84 x 1,59 cm","1,22 kg",,"Intel Core i5-1335U (up to 4.6 GHz, 12 MB L3 cache, 10 nhân, 12 luồng)",,512 GB PCIe NVMe SSD,,,Intel® UHD Graphics,"3 cell 42 Wh , Pin liền",Windows 11 Home SL,,,,,,,,Bạc,,"1 x Thunderbolt 4 (hỗ trợ display/power delivery)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)",,"13.3"" FHD (1920 x 1080), FHD (1920 x 1080), touch, IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,N/a,,,,Laptop HP Elitebook 630 G10 9J0B5PT Bạc,21550000.0,Máy tính xách tay,Elitebook 630 G10 9J0B7PT,,Intel® Wi-Fi 6E AX211 (2x2) and Bluetooth® 5.3,720p HD camera,,,,,,,,,,,,,,
Hp,"30,69 x 20,84 x 1,59 cm","1,22 kg",,"Intel Core i7-1355U (up to 5.0 GHz, 12 MB L3 cache, 10 nhân, 12 luồng)",,512 GB PCIe NVMe SSD,,,Intel® UHD Graphics,"3 cell 42 Wh , Pin liền",Windows 11 Home SL,,,,,,,,Bạc,,"1 x Thunderbolt 4 (hỗ trợ display/power delivery)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)",,"13.3"" FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,N/a,,,,Laptop HP Elitebook 630 G10 9J0B6PT Bạc,24990000.0,Máy tính xách tay,Elitebook 630 G10 9J0B6PT,,Intel® Wi-Fi 6E AX211 (2x2) and Bluetooth® 5.3,720p HD camera,,,,,,,,,,,,,,
Hp,"30,69 x 20,84 x 1,59 cm","1,22 kg",,"Intel Core i7-1355U (up to 5.0 GHz, 12 MB L3 cache, 10 nhân, 12 luồng)",,512 GB PCIe NVMe SSD,,,Intel® UHD Graphics,"3 cell 42 Wh , Pin liền",Windows 11 Home SL,,,,,,,,Bạc,,"1 x Thunderbolt 4 (hỗ trợ display/power delivery)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)",,"13.3"" FHD (1920 x 1080), FHD (1920 x 1080), touch, IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,N/a,,,,Laptop HP Elitebook 630 G10 9J0B7PT Bạc,25990000.0,Máy tính xách tay,Elitebook 630 G10 9J0B7PT,,Intel® Wi-Fi 6E AX211 (2x2) and Bluetooth® 5.3,720p HD camera,,,,,,,,,,,,,,
Acer,357.6 x 247 x 18.9 mm (W x D x H),1.7 kg,,,,512GB PCIe NVMe SSD (Up to 2TB),,,Intel® HD Graphics,"58Whr 3-cell
65W PD Type-C Adapter",Windows 11 Home,,,,,,,,Xám,,"1x USB Type-C
3x USB-A
1x HDMI
1x 1.4 port with HDCP support
1x 3.5 mm headphone/speaker jack",,16 inch WUXGA (1920 x 1200) 300 nits 60Hz 45% NTSC,,,,,,,Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001 Xám,13090000.0,Máy tính xách tay,Aspire Lite AL16-51P-55N7 NX.KX0SV.001,,Bluetooth 5.1,Có,,,,,,,,,,,,,,
HP,359.8 mm x 236 mm x 18.6 mm,"1,59 Kg",,Core i3 1315U 1.2GHz,,8Gb DDR4 3200,,,Vga Intel UHD Graphics,"3-cell, 41 Wh Li-ion",Windows 11 Home,,,2 Loa,,,,,,,"HDMI
2 x USB Type-A
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo",,15.6inch Full HD,,,256GB SSD,,,,Laptop HP 15-Fd0306TU A2NL7PA Bạc,11890000.0,Máy tính xách tay,HP 15-Fd0306TU A2NL7PA,,Wi-Fi 6 (802.11ax)/Bluetooth 5.3,Có,,,,,,,,,,,,,,
HP,359.8 mm x 236 mm x 18.6 mm,"1,59 Kg",,Core i3 1315U 1.2GHz,,8Gb DDR4 3200,,,Intel Iris Xe Graphics,"3-cell, 41 Wh Li-ion",Windows 11 Home,,,2 Loa,,,,,,,"HDMI
2 x USB Type-A
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo",,15.6inch Full HD,,,256GB SSD,,,,"Laptop HP 15-fd0305TU A2NL6PA Vàng , SSD 256GB, Vga Intel Iris Xe Graphics,15.6 inch FHD, Win11 Home64",,Máy tính xách tay,HP 15-fd0305TU A2NL6PA,,Wi-Fi 6 (802.11ax)/Bluetooth 5.3,Có,,,,,,,,,,,,,,
Acer,,,1.7 kg,,,"512GB, PCIe Gen4, 16 Gb/s, NVMe (nâng cấp tối đa 2T SSD",,,NVIDIA® GeForce® RTX™2050 4GB GDDR6,50Wh,Windows 11 Home,,,,,,,,Xám,,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W 2 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter",,"15.6inch FHD (1920 x 1080) IPS SlimBezel, 144Hz, Acer ComfyView",,,,,,,Laptop Acer Gaming Aspire 5 A515-58GM-598J,17890000.0,,Aspire 5 A515-58GM-598J (NX.KW1SV.002) Xám,,,720p HD video at 30 fps with Temporal Noise Reduction,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,Ryzen 7 7840HS 3.2Ghz,,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 4070 8GB GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-s0138AX 9Q985PA Đen,37990000.0,Máy tính xách tay,HP Victus 16-s0138AX 9Q985PA,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,Ryzen 7 7840HS 3.2Ghz,,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 4060 8GB GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-s0139AX 9Q986PA Đen,33490000.0,Máy tính xách tay,Victus 16-s0139AX 9Q986PA,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,Ryzen 7 7840HS 3.2Ghz,,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 4050 6GB GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-s0140AX 9Q987PA Đen,32490000.0,Máy tính xách tay,Victus 16-s0140AX 9Q987PA,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,Ryzen 7 7840HS 3.2Ghz,,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 4050 6GB GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-s0141AX 9Q988PA Xanh,,Máy tính xách tay,Victus 16-s0141AX 9Q988PA,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,Ryzen 7 7840HS 3.2Ghz,,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 3050 6Gb GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-s0135AX 9Q983PA Đen,29990000.0,Máy tính xách tay,HP Victus 16-s0135AX 9Q983PA Đen,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,Ryzen 7 7840HS 3.2Ghz,,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 3050 6Gb GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)
Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-s0145AX 9Q992PA Xanh,,Máy tính xách tay,Victus 16-s0145AX 9Q992PA Xanh,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,"Intel Core i5-13500H ( 2.6 GHz - 4.7GHz / 18MB / 12 nhân, 16 luồng ) -",,32Gb (2x16Gb) DDR5 5200,,,GeForce RTX 4060 8GB GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x HDMI
1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
1x Audio combo
2x LAN 1 Gb/s",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512GB SSD M.2 NVMe,,,,Laptop HP Victus 16-r0227TX 9Q978PA Đen,31890000.0,Máy tính xách tay,Victus 16-r0227TX 9Q978PA,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,"Intel Core i5-13500H ( 2.6 GHz - 4.7GHz / 18MB / 12 nhân, 16 luồng ) -",,32Gb (2x16Gb) DDR5 5200,,,GeForce RTX 4050 6GB GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x HDMI
1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
1x Audio combo
2x LAN 1 Gb/s",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-r0229TX 9Q980PA Xanh,30990000.0,Máy tính xách tay,Victus 16-r0229TX 9Q980PA,,,FHD webcam,,,,,,,,,,,,,,
HP,36.9 x 25.94 x 2.39 cm,2.3 kg,,"Intel Core i5-13500H ( 2.6 GHz - 4.7GHz / 18MB / 12 nhân, 16 luồng ) -",,32Gb (2x16Gb) DDR5 5200,,,Nvidia GeForce RTX 3050 6Gb GDDR6,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home SL,WiFi 802.11ax (Wifi 6),Bluetooth 5.3,,,,,,,,"1 x HDMI
1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
1x Audio combo
2x LAN 1 Gb/s",,"16.1 inch FHD (1920 x 1080), 144 Hz IPS không cảm ứng , Màn hình chống lóa",,,512Gb SSD,,,,Laptop HP Victus 16-r0231TX 9Q973PA Đen,28990000.0,Máy tính xách tay,Victus 16-r0231TX 9Q973PA,,,FHD webcam,,,,,,,,,,,,,,
HP,32.4 x 21.5 x 1.79 cm,1.39 kg,,"Intel Core i7-1355U (upto 5.0 GHz, 12MB)",,,,,Intel Iris Xe Graphics,"3-cell, 41 Wh Li-ion",Windows 11 Home,Realtek Wi-Fi 6 (2x2),Bluetooth®️ 5.3,,,,Integrated 10/100/1000 GbE,,Bạc,,"2 x USB 3.2 Gen 1 Type-A
1 x USB 3.2 Gen 1 Type-C
1 x HDMI
1 x Headphone/ Microphone combo audio jack",,"14 inch FHD (1920 x 1080), IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",,,512GB PCIe NVMe SSD,,,,Laptop HP 240 G10 9H2E6PT Bạc,19990000.0,Máy tính xách tay,HP 240 G10 9H2E6PT,,,720p HD camera,,,,,,,,,,,,,,
HP,36.02 x 23.4 x 1.8 cm,"1,69 Kg",,"Intel Core i7  - 1355U up to 5.0Ghz, 12MB",,16GB (1 khe 8 GB + 1 khe 8 GB) DDR4 3200MHz,,,Intel Iris Xe Graphics,"3-cell, 41 Wh Li-ion",Windows 11 Home,,,2 Loa,,,,,,,"1x USB 3.2 Gen 2
2x USB 3.2 Gen 1
1x HDMI",,"15.6 inch FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",,,"SSD 512GB PCIe NVMe, 1 khe (có thể tháo ra nâng cấp lên đến 1TB)",,,,Laptop HP Pavilion 15-eg3112TU 8U6L9PA Bạc,21950000.0,Máy tính xách tay,Laptop HP Pavilion 15-eg3112TU 8U6L9PA Bạc,,"WiFi 802.11ax (Wi-Fi 6), Bluetooth 5.2",Camera HP Wide Vision HD,,,,,,,,,,,,,,
