Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
"Laptop Lenovo Ideapad Slim 5 14ILR8 (82XD002VVN) - (i5-13500H/16GB/512GB/14"" WUXGA OLED/Windows 11) - Chính hãng","16,990,000 ₫",Intel Core i5,i5 - 13500H,12,16,"P-core 2.6 GHz, E-core 1.9 GHz","P-core 4.7 GHz, E-core 3.5 GHz",18MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,LPDDR5,5200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,SSD tối đa 1TB,1,14 inch,1920x1200,OLED,"Màn hình gương
100% DCI-P3
TÜV Low Blue Light
DisplayHDR True Black 500",None,60Hz,Backlit Keyboard,LED Trắng,Multi-touch touchpad,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)
2x USB-C 3.2 Gen 1 (hỗ trợ truyền dữ liệu, Power Delivery 3.0 & DisplayPort™ 1.4)
1x HDMI 1.4b
1x microSD
1x Jack âm thanh (3.5mm)","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,312 x 221 x 16.9 mm,1.46kg,56.6Wh,65W USB-C,2023,Vỏ nhôm,"FHD 1080p + IR có nắp che, Cảm biến ToF",,,,LPDDR5,,,,,
"Laptop Gaming HP Victus 15-fa1087TX (8C5M4PA) - (i7-13620H/16GB/512GB/RTX 3050/15.6"" FHD/Windows 11) - Chính hãng","23,990,000 ₫",Intel Core i7,i7 - 13620H,10,16,2.4GHz,4.9 GHz,24MB,Card tích hợp - Intel Iris Xe Graphics,RTX 3050,16GB,DDR4,3200MHz,Không,32GB,512GB SSD,"Không có khe bổ sung, nâng cấp khe mặc định lên bộ nhớ cao hơn",1,15.6 inch,1920x1080,IPS,"Viền siêu mỏng
Màn hình chống chói
Độ sáng 250 nits
Độ phủ màu 45% NTSC",None,60Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"1 USB-A 5Gbps;
1 USB-A 5Gbps (HP Sleep and Charge);
1 USB-C 5Gbps (DisplayPort 1.4, HP Sleep and Charge);
1 HDMI 2.1;
1 RJ-45;
1 cổng nguồn;
1 cổng tai nghe 3.5mm","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,35.79 x 25.5 x 2.35 cm,2.29kg,"4-cell, 70 Wh",200W,2023,Nhựa,HP Wide Vision 720p HD,2 loa,,6 GB GDDR6,DDR4 (8x2),,,15 - 17 inch,,
"Laptop HP 15-FD0083TU (8D736PA) (I7-1355U/16GB RAM/512GB SSD/15.6"" FHD/WIN11/Bạc)- Chính hãng","19,990,000 ₫",Intel Core i7,i7 - 1355U,10,12,,5.0 GHz,12 MB,Card tích hợp - Intel Iris Xe Graphics,,16GB,DDR4,3200 MHz,None,32 GB,512GB SSD,,1,15.6 inch,1920×1080,,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,,Full-size có phím số,,Multi-touch touchpad,"1 USB Type-C® 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors)
2 USB Type-A 5Gbps signaling rate
1 AC smart pin
1 headphone/microphone combo
1 HDMI 1.4b","Wi-Fi 6
Bluetooth 5.3",Windows 11 Home,,1.59 kg,"3-cell, 41 Wh",,,,HP True Vision 720p HD,,,,,,,,,
"Laptop Lenovo LOQ 15IAX9 (83GS001RVN) - (i5-12450HX/12GB/512GB/RTX 3050/15.6"" FHD/Windows 11) - Chính hãng","18,990,000 ₫",Intel Core i5,i5 - 12450HX,8,12,2.4 GHz,"P-core 4.4 GHz, E-core 3.1 GHz",12MB,,"NVIDIA® GeForce RTX™ 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W",12GB,DDR5,4800 MHz,1 khe,32GB,512GB SSD,2 Slots: M.2 2242/M.2 2280 PCIe 4.0 x4 tối đa 1TB,1,15.6 inch,1920x1080,IPS,"Độ sáng tối đa 350nits
Màn hình chống chói
Độ phủ màu 100% sRGB
Advanced Optimus
NVIDIA G-SYNC
TÜV Low Blue Light (phần mềm)",None,144Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x HDMI 2.1, xuất hình ảnh lên tới 8K/60Hz
1x Ethernet (RJ-45)
1x Jack âm thanh (3.5mm)
1x Cổng nguồn
1x USB-C (USB 10Gbps / USB 3.2 Gen 2), hỗ trợ PD 140W & DisplayPort 1.4","Wi-Fi 6
Bluetooth v5.2",Windows 11,359.86 x 258.7 x 21.9-23.9 mm,2.38kg,60Wh,170W,,"Hợp kim nhựa PC + ABS dẻo dai, chống va đập","FHD 1080p, có màn che vật lý","Loa kép, 2W x2, được tối ưu bởi Nahimic Audio",,6GB GDDR6,DDR5,,,,,
"Laptop Lenovo V15 G4 IRU - 83A100RHVN (I7-13620H/ 16GB/512GB/ 15.6"" FHD/Win 11 Home) - Chính hãng","16,490,000 ₫",Intel Core i7,i7 - 13620H,10,16,,3.6 GHz,24MB,,,16GB,DDR4,,1 khe,,,,1,15.6 inch,1920 x 1080,IPS,,,,English International Non-backlit Keyboard,Không,Multi-touch touchpad,"1 USB 2.0
1 USB 3.2 Gen 1
1 USB 3.2 Gen 1 Type-C
1 HDMI 1.4
1 Jack 3.5 mm
1 RJ45 Gigabit Ethernet
1 Power connector","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home,359.2 x 235.8 x 19.9 mm,1.65kg,"2 Cell, 38 Wh",,2024,Nhựa,HD Webcam (720p Webcam),,,,,,,,,
"Laptop ASUS Vivobook S 14 Flip TN3402YA-LZ192W (R5-7530U/16GB/512GB/14"" FHD+ Cảm ứng/Windows 11/Kèm chuột) - Chính hãng","14,790,000 ₫",AMD Ryzen 5,R5 - 7530U,6,12,2.0 GHz,4.3 GHz,16MB,AMD Radeon Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,Không,16GB,512GB SSD,Nâng cấp SSD mặc định lên bộ nhớ cao hơn.,1,14 inch,1920x1200,IPS,"Độ sáng 300nits
Độ phủ màu 45% NTSC
TÜV Rheinland-certified",Có,60Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in","Wi-Fi 6E
Bluetooth v5.0",Windows 11 Home,31.32 x 22.76 x 1.89 (cm),1.5kg,50WHrs,,2023,Vỏ kim loại,1080p FHD camera với nắp che vật lí,Harman/Kardon,,,DDR4,,,,,
Laptop Asus VivoBook S 16 OLED S5606MA-MX051W (Ultra 7-155H/16GB/512GB PCIE/16.0 3.2K OLED/WIN11/Xanh/AI Copilot),"23,990,000 ₫",Intel Core Ultra 7,U7 - 155H,16 nhân,22 luồng,1.4 GHz,4.8 GHz,24MB,Đồ họa Intel® Arc™,GPU tích hợp,16GB,LPDDR5X,Đang cập nhật,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,16 inch,3200x2000,OLED,"16"" 3.2K (3200 x 2000) OLED 16:10 aspect ratio, 120Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut, Gamut mapping, Contrast ratio 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, 70% less harmful blue light, Screen-to-body ratio: 83％, TÜV Rheinland-certified",None,120Hz,"Phím Copilot, Hành trình phím 1,5mm",Keyboard 1-Zone RGB with Num-key,Chuột cảm ứng chính xác,"2x USB 3.2 Thế hệ 1 Loại A
2x Thunderbolt™ 4 hỗ trợ màn hình / power delivery
1x HDMI 2.1 TMDS
1x Giắc Âm thanh Kết hợp 3,5 mm
Đầu đọc thẻ Micro SD","Wi-Fi 6E
Bluetooth 5.3",Windows 11,35.36 x 24.69 x 1.39 ~ 1.59 cm (13.92 inch x 9.72 inch x 0.55 inch ~ 0.63 inch),1.5kg,75 Wh,,2024,Kim loại,"Máy ảnh FHD có chức năng IR để hỗ trợ Windows Hello
Có màn trập riêng tư","Công nghệ Amply Thông minh
Loa tích hợp
Micro tích hợp
Micrô array tích hợp
harman/kardon (Dòng chính)",,,,,Intel® AI Boost NPU,,,
Laptop ASUS ExpertBook P1 P1403CVA-i508-50W (i5-13420H/8GB/512GB/14.0inch FHD/Win11/Xám)- Chính hãng,"14,490,000 ₫",Intel Core i5,i5 - 13420H,8,12,,4.6 Ghz,12MB,Intel® UHD Graphics,,8GB,DDR5,,1 khe,"2x SO-DIMM socket, up to 64GB SDRAM",512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14.0 inch,1920 x 1080,IPS,"LED Backlit, Anti-glare display, NTSC: 45%, View angle 170, Screen-to-body ratio 87%",None,60Hz,Bàn phím Chiclet,Không có đèn nền,Multi-touch touchpad,"2x USB 3.2 Gen 1 Type-A
2x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
FingerPrint","Wi-Fi 6 (802.11ax)
Bluetooth® 5.3 Wireless Card",Windows 11 Home,324.5 x 214.4 x 19.7 mm,1.41 kg,50WHrs,,,Nhựa,"720p HD camera, With privacy shutter","Audio by Dirac
Built-in speaker
Built-in array microphone",,,,FHD,,,,
"Laptop Acer Predator Helios 18 AI (PH18-73-93P0) (U9 275HX/64G/3TB/18""WQXGA/Windows 11 Home/RTX5080/Black)","99,990,000 ₫",Intel Core Ultra 9,U9 - 275HX,24,24,,5.4 GHz,36M Cache,Intel® Graphics,NVIDIA® GeForce RTX™ 5080 16GB,64GB,DDR5,4000 MHz,None,"(4x SO-DIMM socket, up to 192GB SDRAM)",3TB SSD,Không có thông tin cụ thể (3 SSD slots),1,18 inch,2560 x 1600,mini LED,"Acer ComfyView™, LED-backlit TFT LCD, integrated Mini LED technology, Nvidia Advanced Optimus capable, HDR 1000",None,250Hz,Backlit Chiclet Keyboard,Có,Multi-touch touchpad,"2 x USB Type-C™ (Thunderbolt™ 5, USB 3.2 Gen 2x2, DisplayPort over USB-C, USB charging 5V; 3A, DC-in port 20V; 100W)
3 x USB Standard-A (1x USB 3.2 Gen 1, 1x USB 3.2 Gen 2, 1x USB 3.2 Gen 2 with power-off charging)
1 x HDMI® 2.1 port with HDCP support
1 x SD™ Card reader
1 x 3.5 mm headphone/speaker jack (supports headsets with built-in microphone)
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter","Wifi: Killer™ Wi-Fi 7 Wireless LAN (802.11 a/b/g/n/ac/ax/be, 2.4 GHz, 5 GHz, 6 GHz, 2x2 MU-MIMO technology)
Bluetooth: Supports Bluetooth® 5.4 or above, Supports Bluetooth LE Audio (LC3)",Windows 11 Home SL,400.96 x 307.9 x 29.55/17.3 mm,3.5 kg,99.98Wh 4-cell Li-ion battery,400W AC Adapter,2025,"Mặt A: Kim loại, Mặt B, C, D: Nhựa",FHD Webcam (1920 x 1080) + IR camera with blue glass,,,,,2K+,,,,
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00007VN (I7-13620H/16GB/512GBs/14 inch WUXGA/Win 11/Xám) - Chính hãng,"17,890,000 ₫",Intel Core i7,i7 - 13620H,10,16,1.8 Ghz,4.9 GHz,24MB,Intel® UHD Graphics,GPU tích hợp,16GB,DDR5,4800 MHz,None,Up to 24GB (8GB soldered + 16GB SO-DIMM),512GB SSD,"Up to two drives, 2x M.2 SSD
• M.2 2242 SSD up to 1TB",1,14 inch,1920 x 1200,IPS,"300nits Anti-glare, 45% NTSC",None,,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort™ 1.2
1x HDMI® 1.4
1x Headphone / microphone combo jack (3.5mm)
1x SD card reader
1x Power connector","Wi-Fi® 6, 802.11ax 2x2 + BT5.2",Windows® 11 Home Single Language,314.4 x 222.1 x 16.9-17.9 mm,1.43 kg,60Wh,65W Round Tip (3-pin),,Aluminium,HD 720p with Privacy Shutter,"Stereo speakers, 2W x2, optimized with Dolby Audio™",,,,WUXGA,,,,
Laptop Lenovo IdeaPad Slim 3 15ABR8 (82XM00EHVN) (R7-7730U/16GB/512GB/15.6 FHD/WIN11/XÁM) - Chính hãng,"13,990,000 ₫",AMD Ryzen 7,R7 - 7730U,8,16,2 GHz,4.5 GHz,16 MB,AMD Radeon Graphics,GPU tích hợp,16 GB,,3200 MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,,,15.6 inch,1920 x 1080,IPS,"Tấm nền IPS
Chống chói Anti Glare
Độ sáng 300 nits",None,60 Hz,English International Non-backlit Keyboard,Không có đèn nền,Multi-touch touchpad,"HDMI
2 x USB 3.2
1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)
1 x Headphone/microphone combo","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home SL,359.3 x 235 x 17.9 mm,1.62 kg,47 Wh,65 W,2024,Vỏ nhựa,720P HD camera With privacy shutter,Dolby Audio,,,,FHD,,,,
"Laptop Lenovo IdeaPad 5 Pro 16ARH7-82SN003JVN (R5-6600HS/16GB/512GB/RTX 3050/16"" 2.5K IPS/Windows 11) - Chính hãng","21,690,000 ₫",AMD Ryzen 5,R5 - 6600HS,6,12,3.30 GHz,4.50 GHz,3MB L2 / 16MB L3,AMD Radeon™ Graphics,RTX 3050,16GB,DDR5,6400 MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,Một ổ đĩa: tối đa 512GB M.2 2242 SSD hoặc 1TB M.2 2280 SSD,1,16 inch,2560x1600,IPS,"Độ sáng 350nits
Màn hình chống chói
100% sRGBG-SYNC
TÜV Low Blue Light
TCON",None,120Hz,Bàn phím tiêu chuẩn,Có,Multi-touch touchpad,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)
1x USB-C® 3.2 Gen 2 (hỗ trựo truyền dữ liệu, Power Delivery & DisplayPort)
1x HDMI® 2.0
1x Khe thẻ SD
1x Cổng âm thanh (3.5mm)","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home Single Language,356 x 251 x 16.9 mm,1.95kg,75Wh,,,Vỏ nhựa - nắp lưng bằng kim loại,"ToF, FHD 1080p & IR","Loa kép, 2W x2, Dolby Atmos",,4GB GDDR6,LPDDR5,,,,,
"Laptop Dell Inspiron 14 5440 (71034769) (Core 5 120U/16GB/1TB/ 14.0"" FHD+/Win11 + Office HS21/Xanh) - Chính hãng","21,990,000 ₫",Intel Core i5,i5 - 120U,10 nhân,12 luồng,1.4 GHz,5 GHz,12 MB,Intel Graphics,GPU tích hợp,16GB,DDR5,5200 MHz,None,Đang cập nhật,1TB SSD,Đang cập nhật,1,14 inch,1920x1200,WVA,FHD+,None,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Precision touchpad,"2 cổng USB 3.2 Gen 1 (5 Gbps)
1 USB 3.2 Gen 2 (10 Gbps) Type-C ® với cổng Power Delivery và
tai nghe DisplayPort™ 1 (kết hợp tai nghe và micrô)
1 cổng HDMI 1.4 *
1 cổng chuyển đổi nguồn","Wi-Fi 6
Bluetooth 5.3",Windows 11,17.31mm x 314.00mm x 226.15mm,1.67kg,4 Cell - 54Wh,,2024,Aluminium,"Camera HD RGB 720p ở tốc độ 30 khung hình / giây, Micrô đơn","Loa âm thanh nổi có Waves MaxxAudio® Pro và Dolby Atmos Core, tổng công suất 2W x 2 = 4W",,,,,,,,
"Laptop Lenovo IdeaPad Gaming 3 15ACH6-82K2027QVN (Ryzen 5 5500H/8GB/512GB/RTX 2050/15.6"" FHD 144Hz/Windows 11) - Chính hãng","14,290,000 ₫",AMD Ryzen 5,R5 - 5500H,4,8,3.3 GHz,4.2 GHz,2MB L2 / 8MB L3,AMD Radeon Graphics,RTX 2050,8GB,DDR4,3200 MHz,1 khe,16GB,512GB SSD,"Tối đa hai ổ đĩa, 2x M.2 SSD hoặc 1x 2.5 inch HDD + 1x M.2 SSD
• Ổ cứng 2,5 inch lên đến 1TB
• SSD M.2 2242 lên đến 512GB
• SSD M.2 2280 lên đến 1TB",1,15.6 inch,1920x1080,IPS,"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC",None,144Hz,Full-size có phím số,LED Trắng,Multi-touch touchpad,"1x Ethernet (RJ-45)
1x HDMI® 2.0
1x Cổng âm thanh (3.5mm)
1x Cổng nguồn
1x USB-C 3.2 Gen 1 (chỉ hỗ trợ truyền dữ liệu)
2x USB 3.2 Gen 1","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,359.6 x 251.9 x 24.2 mm,2.25kg,45Wh,135W Slim Tip (3-pin)c,,,Full HD Webcam,"Loa kép, 2W x2, Nahimic Audio",,4GB GDDR6,DDR4,,,,,
"Máy tính xách tay Asus Vivobook PRO 14 OLED M3401QA-KM040W (R7-5800H/8GB DDR4 on board/512GB/Radeon/14"" OLED 2.8K/Win11/Quiet Blue) - Chính hãng","15,990,000 ₫",AMD Ryzen 7,R7 - 5800H,8,16,3.2GHz,4.4GHz,"L2 Cache:4MB
L3 Cache:16MB",AMD Radeon Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,2880x1800,OLED,"16:10, OLED, 400nits, DCI-P3: 100%, Pantone Validated",None,90Hz,Backlit Chiclet Keyboard,Đang cập nhật,Multi-touch touchpad,"1 x USB 3.2
2 x USB 2.0
1 x HDMI
1 x Jack tai nghe 3.5 mm
1 x USB Type-C
1 x SD","Wi-Fi 6
Bluetooth v5.0",Windows 11 Home,31.74 x 22.85 x 1.92 ~ 1.93 cm,1.4kg,"3-cell, 63WHrs Li-ion",,2021,Vỏ nhựa - nắp lưng bằng kim loại,720p HD camera,Audio by Harman/Kardon,,,,,,,,
"Laptop HP 14s-DQ5121TU (8W355PA) (i3-1215U/8GB/512GB/14"" FHD/Win11/Silver) - Chính hãng","10,690,000 ₫",Intel Core i3,i3 - 1215U,6,8,,4.4GHz,10MB,Card tích hợp - Intel UHD Graphics,,8GB,DDR4,3200MHz,1 khe,32GB,512GB SSD,,1,14.0 inch,1920×1080,,"micro-edge, anti-glare, 250 nits, 45% NTSC",None,,Bàn phím tiêu chuẩn,,Cảm ứng đa điểm,"2 x USB 3.2 Gen
1 x SD card slot
1 x Type-C
1 x HDMI
1 x Headphone/ Microphone combo audio jack","802.11 ax
Bluetooth v5.2",Windows 11 Home Single Language,323 x 215 x 179 mm,1.46 kg,"3-cell, 41 Wh",AC Adaptor 45W,,,HP True Vision 720p HD,Realtek High Definition Audio,,,,,,,,
Laptop Acer TravelMate B3 TMB311 31 C2HB N4020/4GB/128GB/Win11 - Chính hãng,"3,490,000 ₫",Intel Celeron,Celeron-N4020,2,2,1.10 GHz,Turbo Boost 2.8 GHz,4 MB,Card tích hợp - Intel UHD Graphics 600,GPU tích hợp,4GB,DDR4,Từ 2400 MHz (Hãng công bố),None,Không hỗ trợ nâng cấp,128GB SSD,Đang cập nhật,1,11.6 inch,1366x768,LED TFT,"TFT
LED Backlit
Acer ComfyView",None,60Hz,Đang cập nhật,Đang cập nhật,Đang cập nhật,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C","Bluetooth v5.0
Wi-Fi",Windows 11 Home SL,Dài 295 mm - Rộng 215 mm - Dày 20.99 mm,1.4kg,48 Wh,Đang cập nhật,2021,Vỏ nhựa,HD webcam,Acer TrueHarmony,Đang cập nhật,,DDR4 (1 khe),,,,,
Laptop Dell Inspiron 3530 N5I5007W1 (i5 1335U/16GB/512GB/ 15.6inch FHD/ Windows 11 + Office Student/ Silver) - Chính hãng,"16,790,000 ₫",Intel Core i5,i5 - 1335U,10,12,1.3 GHz,4.6 GHz,12 MB,VGA onboard - Intel UHD Graphics,GPU tích hợp,16GB,DDR4,2666 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15.6 inch,1920x1080,WVA,"LED-Backlit, 250 nit, Narrow Border",None,120Hz,Backlight Keyboard,Không có đèn nền,Multi-touch touchpad,"1x USB Type-C
1 x USB 2.0
1x Jack tai nghe 3.5 mm
1 x USB 3.2
1x HDMI","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,"358,50 x 235,56 x 18,99mm",1.83kg,"3-cell Li-ion, 41 Wh",,2023,Vỏ nhựa,HD webcam,Realtek Audio,,,DDR4,,,,,
"Laptop HP Pavilion 15-eg3091TU (8C5L2PA) - (i7-1355U/16GB/512GB/15.6"" FHD/Windows 11) - Chính hãng",Giá: Liên hệ,Intel Core i7,i7 - 1355U,10,12,1.7 GHz,5.0 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,Không,32GB,512GB SSD,Nâng cấp SSD mặc định lên dung lượng cao hơn.,1,15.6 inch,1920x1080,IPS,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,60Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1 USB-C 10Gbps (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge);
2 USB Type-A 5Gbps;
1 HDMI 2.1;
1 AC smart pin;
1 headphone/microphone combo","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,36.02 x 23.4 x 1.79 cm,1.74kg,"3-cell, 41 Wh",,2022,Vỏ kim loại - Nắp lưng bằng nhựa,720p HD camera,Audio by B&O; Loa kép; HP Audio Boost,,,DDR4,,,,,
"Laptop ASUS Zenbook 14 OLED UX3402VA-KM203W (i5-1340P/16GB/512GB/14"" 2.8K OLED/Windows 11/Túi) - Chính hãng","22,690,000 ₫",Intel Core i5,i5 - 1340P,12,16,1.9 GHz,4.6 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,LPDDR5X,4800 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,14 inch,2880x1800,OLED,"Thời gian đáp ứng 0,2 ms
Độ sáng 400nits
Độ sáng tối đa 600 nit HDR
Dải màu DCI-P3 100%
Tỉ lệ tương phản 1,000,000:1
Màn hình HDR True Black 600 đạt CHỨNG NHẬN VESA
1,07 tỉ màu sắc
Đạt chuẩn PANTONE Validated
Màn hình gương
Giảm 70% ánh sáng xanh có hại
Được chứng nhận bởi TÜV Rheinland
Màn hình bảo vệ mắt SGS
Tỷ lệ màn hình trên thân máy 90%",Không,90Hz,Bàn phím tiêu chuẩn,LED Trắng,Multi-touch touchpad,"1x USB 3.2 Thế hệ 2 Loại A
2x Thunderbolt™ 4 hỗ trợ màn hình / power delivery
1x HDMI 2.1 TMDS
1x Giắc Âm thanh Kết hợp 3,5 mm
Đầu đọc thẻ Micro SD","Wi-Fi 6E
Bluetooth 5",Windows 11 Home,31.36 x 22.06 x 1.69 ~ 1.69 cm,1.39kg,75WHrs,"TYPE-C, Bộ đổi nguồn AC 65W, Đầu ra: 20V DC, 3,25A, 65W, Đầu vào: 100~240V AC 50/60Ghz chung",2023,Vỏ kim loại,720p HD,"Công nghệ Amply Thông minh
Loa tích hợp
Micrô array tích hợp
harman/kardon (Cao cấp)",,,LPDDR5,,,,,
Mac Studio Chip M4 Max (14CPU - 32GPU - 36GB - 512GB) - Chính Hãng Apple Việt Nam,"57,990,000 ₫",Apple M4 Max,Apple - M4 - Max,14,32,,,,,,36 GB,,,Không,48GB,512GB SSD,,,,,,,,,,,,"Two USB‑C ports (up to 10Gb/s)
SDXC memory card slot(UHS-II)
Bốn cổng Thunderbolt 5 (USB‑C)","Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",macOS,9.5 x 19.7 x 19.7 cm,2.74 kg,,,03/2025,,,"Loa tích hợp
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",,,,,,,,
Laptop Asus VivoBook 15 OLED A1505VA-MA468W (i5 13500H/16GB RAM/512GB SSD/15.6 Oled 2.8K/Win11/Đen/Chuột) - Chính hãng,"16,790,000 ₫",Intel Core i5,13500H,12,16,2.6 GHz,4.7 GHz,18MB,Intel Iris Xᵉ Graphics,,16GB,DDR4,Hãng không công bố,,,512GB SSD,,1,15.6 inch,2880 x 1620,OLED,"Độ sáng tối đa HDR 600 nits
Độ phủ màu 100% DCI-P3
tỷ lệ tương phản 1.000.000:1
HDR True Black 600
1.07 tỷ màu
Ánh sáng xanh ít gây hại hơn 70%
Chứng nhận TÜV Rheinland
SGS Màn hình chăm sóc mắt",Không,120Hz,Bàn phím Chiclet có Num-key,,,"1 x USB 2.0 Type-A
1 x USB 3.2 Gen 1 Type-C hỗ trợ cung cấp điện
2 x USB 3.2 Gen 1 Type-A
1 x HDMI 1.4
1 x Giắc cắm âm thanh kết hợp 3,5 mm
1 x DC-in","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,356.8 x 227.6 x 19.9 mm,1.7kg,"50WHrs, 3S1P, 3-cell Li-ion",65W,,Nhựa,720p HD Camera với nắp che vật lí,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp","MyASUS
ScreenXpert
GlideX",,,,,,,
