Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop HP Envy X360 14-fc0085TU - A19BVPA,33.890.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155U ( 1.7 GHz - 4.8 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K OLED , 120Hz , cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương",HD webcam,32GB Onboard LPDDR5 6400MHz Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL,31.34 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,,HP Envy,Envy X360 14-fc0085TU - A19BVPA,A19BVPA,Xanh,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Envy X360 14-fa0047AU - A19BPPA,30.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 8840HS ( 3.3 GHz - 5.1 GHz / 16MB / 8 nhân, 16 luồng ), AMD AI",AMD Ryzen™AI up to 38 TOPs,Onboard graphics AMD Radeon 780M,"14"" ( 2880 x 1800 ) 2.8K OLED , 120Hz , cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương",HD webcam,16GB Onboard LPDDR5 6400MHz Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL,31.33 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,,HP Envy,Envy X360 14-fa0047AU - A19BPPA,A19BPPA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Probook 440 G11 - A74BHPT,26.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155U ( 1.7 GHz - 4.8 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , không cảm ứng",HD webcam,1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home,31.86 x 22.44 x 1.09 cm (front); 31.86 x 22.43 x 1.7 cm (rear),"3 cell 56 Wh , Pin liền",1.4 kg,Vân tay,không đèn,"Adapter, dây nguồn,…",HP Probook,Probook 440 G11 - A74BHPT,A74BHPT,Bạc,Văn phòng,,Vỏ nhôm,,,,,,
Laptop Asus Gaming Vivobook 16X K3605ZU-RP296W,22.890.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 4050 6GB GDDR6 Intel® UHD Graphics,"16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 144Hz , 300 nits , 45% NTSC , Màn hình chống lóa",HD webcam,1 x 16GB DDR4 ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet , có phím số , LED",Windows 11 Home,35.86 x 24.91 x 1.89 cm,"3 cell 70 Wh , Pin liền",1.8 kg,"Vân tay - - Cảm biến vân tay tích hợp với Touchpad , BIOS Booting User Password Protection, Trusted Platform Module (Firmware TPM)",,,ASUS Vivobook,Gaming Vivobook 16X K3605ZU-RP296W,90NB11X1-M00HT0,Đen,Gaming,SonicMaster,,,,,,,
Laptop Asus Gaming Vivobook 16X K3605ZC-RP564W,18.490.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 4GB GDDR6 Intel® UHD Graphics,"16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 144Hz , 300 nits , 45% NTSC , Màn hình chống lóa",HD webcam,16GB (8GB + 8GB Onboard) DDR4 ( 1 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet , có phím số , LED",Windows 11 Home,35.86 x 24.91 x 1.89 cm,"3 cell 50 Wh , Pin liền",1.8 kg,,,,ASUS Vivobook,Gaming Vivobook 16X K3605ZC-RP564W,90NB11F1-M00TJ0,Đen,Gaming,SonicMaster,,,,,,,
Laptop Dell Inspiron 15 3530 N3530-i5U165W11SLU,17.490.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1334U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD WVA , 120Hz , 250 nits , Màn hình chống lóa",HD webcam,2 x 8GB DDR4 2666MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , không đèn",Windows 11 Home SL + Office Home & Student 2021,16.96 - 18.99 x 358.50 x 235.56 mm,"3 cell 41 Wh , Pin liền",1.9 kg,,,"Adapter, dây nguồn, HDSD,…",Dell Inspiron,Inspiron 15 3530 N3530-i5U165W11SLU,i5U165W11SLU,Bạc,Văn phòng,,Vỏ nhựa,,,,,,
Laptop Msi Stealth 14 AI Studio A1VFG-085VN,49.490.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,"GeForce RTX™ 4060 8GB GDDR6 Intel® Arc™ Graphics ( 2250MHz , 90W , 233 AI TOPS )","14"" ( 2880 x 1800 ) 2.8K 16:10 , OLED , 120Hz , không cảm ứng , 100% DCI-P3",FHD webcam,2 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort
1 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","Wi-Fi 7 BE , Bluetooth 5.4","Bàn phím Chiclet với phím Copilot , không phím số , RGB",Windows 11 Home SEA,315.6 x 246.25 x 19.9-21.8 mm,"4 cell 72 Wh , Pin liền",1.7 kg,Khuôn mặt,,"Stealth Trooper Backpack II, MSI Gaming Headset H901, MSI Wireless Gaming Mouse_ M18, Lót chuột, Móc chìa khóa rồng, Adapter, dây nguồn,…",MSI Stealth,Stealth 14 AI Studio A1VFG-085VN,085VN,Xanh,Gaming,"Nahimic, Hi-Res Audio",,,,,,,
Laptop Msi Sword 16 HX B14VEKG-459VN,34.490.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-14700HX ( 2.1 GHz - 5.5 GHz / 33MB / 20 nhân, 28 luồng ), Non-EVO",,"GeForce RTX™ 4050 6GB GDDR6 Intel® UHD Graphics 770 ( 2370 MHz , 115W , 194 AI TOPs )","16"" ( 1920 x 1200 ) WUXGA IPS , 144Hz , không cảm ứng , 100% DCI-P3",HD webcam,2 x 8GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 96GB ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
2 x 3.5 mm
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , có phím số , RGB",Windows 11 Home,359 x 266.4 x 21.8-27.7 mm,"4 cell 65 Wh , Pin liền",2.3 kg,,,Adapter,MSI Sword,Sword 16 HX B14VEKG-459VN,459VN,Xám,Gaming,"Nahimic, Hi-Res Audio",Vỏ nhựa,,,,,,
Laptop Msi Katana A15 AI B8VG-466VN,39.990.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 9 8945HS ( 4.0 GHz - 5.2 GHz / 16MB / 8 nhân, 16 luồng ), AMD AI",AMD Ryzen™AI up to 39 TOPs,"GeForce RTX™ 4070 8GB GDDR6 AMD Radeon 780M ( 1980MHz , 105W , 321 AI TOPs )","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 45% NTSC",HD webcam,1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x USB 2.0
2 x 3.5 mm
1 x HDMI
LAN 1 Gb/s","AMD Wi-Fi 6E , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , có phím số , RGB",Windows 11 Home,359 x 259 x 24.9 mm,"3 cell 54 Wh , Pin liền",2.3 kg,,,"Adapter, chuột",MSI Katana,Katana A15 AI B8VG-466VN,466VN,Đen,Gaming,"Nahimic, Hi-Res Audio",,,,,,,
Laptop Acer Predator Helios Neo 14 PHN14-51-99Y8,48.590.000₫,Acer,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-185H ( 3.9 GHz - 5.1 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics,"14.5"" ( 3072 x 1920 ) 3K 16:10 , IPS , 165Hz , không cảm ứng , 400 nits , 100% sRGB , Acer ComfyView",HD webcam,32GB Onboard LPDDR5x 6400MHz ( 1 Khe cắm / Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , RGB",Windows 11 Home SL,324.12 x 255.35 x 19.52 - 20.90 mm,"4 cell 76 Wh , Pin liền",1.9 kg,,không đèn,"Adapter, dây nguồn, HDSD,…",Acer Predator,Predator Helios Neo 14 PHN14-51-99Y8,NH.QRPSV.001,Đen,Gaming,DTS X:Ultra Audio,"A,D: Nhôm B,C: Nhựa ABS",,,,,,
Laptop Acer Predator Helios Neo 14 PHN14-51-96HG,58.390.000₫,Acer,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-185H ( 3.9 GHz - 5.1 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,GeForce RTX™ 4070 8GB GDDR6 Intel® UHD Graphics,"14.5"" ( 3072 x 1920 ) 3K 16:10 , IPS , 165Hz , không cảm ứng , 400 nits , 100% sRGB , Acer ComfyView",HD webcam,32GB Onboard LPDDR5x 6400MHz ( 1 Khe cắm / Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , RGB",Windows 11 Home SL,324.12 x 255.35 x 19.52/20.90 mm,"4 cell 76 Wh , Pin liền",1.9 kg,,không đèn,"Adapter, dây nguồn, HDSD,…",Acer Predator,Predator Helios Neo 14 PHN14-51-96HG,NH.QRNSV.001,Đen,Gaming,DTS X:Ultra Audio,"A,D Nhôm B,C: Nhựa ABS",,,,,,
Laptop HP Victus 16-r0216TX - 9Q973PA,25.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13500H ( 2.6 GHz - 4.7GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® Iris® Xe Graphics,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,2 x 16GB DDR5 5200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home SL,36.9 x 25.94 x 2.39 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,không đèn,,HP Victus,Victus 16-r0216TX - 9Q973PA,9Q973PA,Đen,Gaming,HP Audio Boost,,,,,,,
Laptop HP Victus 16-r0128TX - 8C5N3PA,25.290.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13450HX ( 2.4 GHz - 4.6GHz / 20MB / 10 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 4050 6GB GDDR6 Intel® UHD Graphics 710,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,2 x 8GB DDR5 4800MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , không đèn",Windows 11 Home SL,36.9 x 25.94 x 2.39 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,không đèn,,HP Victus,Victus 16-r0128TX - 8C5N3PA,8C5N3PA,Đen,Gaming,HP Audio Boost,,,,,,,
Laptop Dell Latitude 3440 L3440-I51235U-16G512G,16.490.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD WVA , 60Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , không đèn","Windows 11 Home SL, English",322.17x 219.43x 19.37 mm,"3 cell 41 Wh , Pin liền",1.6 kg,,,,Dell Latitude,Latitude 3440 L3440-I51235U-16G512G,L3440-I51235U-16G512G,Xám,Văn phòng,Realtek Audio,,,,,,,
Laptop HP Pavilion X360 14-ek2013TU - 9Z2V4PA,26.890.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ 7 150U ( 1.8 GHz - 5.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , cảm ứng , 300 nits , 62.5% sRGB , Màn hình gương",HD webcam,16GB Onboard DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home SL,32.2 x 21.0 x 1.99 cm,"3 cell 43 Wh , Pin liền",1.5 kg,,,,HP Pavilion,Pavilion X360 14-ek2013TU - 9Z2V4PA,9Z2V4PA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP 15-fd1043TU - 9Z2W9PA,18.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ 5 120U ( 1.4 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm,1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , có phím số , không đèn",Windows 11 Home,35.98 x 23.6 x 1.86 cm,"3 cell 41 Wh , Pin liền",1.6 kg,,,"Adapter, dây nguồn,…",HP 15,15-fd1043TU - 9Z2W9PA,9Z2W9PA,Bạc,Văn phòng,,,,,,,,
Laptop HP Spectre x360 14-eu0051TU - A2NL3PA,51.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K OLED , 60Hz , cảm ứng , 500 nits , 100% DCI-P3",HD webcam,16GB Onboard LPDDR5x 7467MHz Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB 3.2
2 x Thunderbolt 4
Audio combo","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home,31.37 x 22.04 x 1.69 cm,"4 cell 68 Wh , Pin liền",1.4 kg,Vân tay,,"Adapter, dây nguồn, pen,…",HP Spectre,Spectre x360 14-eu0051TU - A2NL3PA,A2NL3PA,Xanh,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Victus 16-r0231TX - 9Q982PA,29.390.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13500H ( 2.6 GHz - 4.7 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® Iris® Xe Graphics,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,2 x 16GB DDR5 5200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home SL,36.9 x 25.94 x 2.39 cm,"70 Wh , Pin liền",2.3 kg,,không đèn,,HP Victus,Victus 16-r0231TX - 9Q982PA,9Q982PA,Xanh,Gaming,HP Audio Boost,,,,,,,
Laptop Acer Aspire 5 Spin 14 A5SP14-51MTN-573X,14.690.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1335U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , cảm ứng , Acer ComfyView",HD webcam,16GB Onboard LPDDR5 5200MHz ( 1 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , không đèn",Windows 11 Home,318.2 x 225.5 x 17.99 mm,"3 cell 50 Wh , Pin liền",1.6 kg,Vân tay,,,Acer Aspire,Aspire 5 Spin 14 A5SP14-51MTN-573X,NX.KHKSV.002,Bạc,Văn phòng,Acer TrueHarmony Technology,,,,,,,
Laptop Acer Gaming Aspire 5 A515-58GM-53PZ,15.490.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 2050 4GB GDDR6 Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , không cảm ứng , 250 nits , 45% NTSC , Acer ComfyView",FHD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home,36.1 x 23.7 x 1.79 cm,"50 Wh , Pin liền",1.7 kg,Vân tay,,"Adapter, dây nguồn, HDSD,…",Acer Aspire,Gaming Aspire 5 A515-58GM-53PZ,NX.KQ4SV.008,Xám,Gaming,,Vỏ nhôm,,,,,,
Laptop HP 14-ep1011TU - 9Z2W3PA,19.190.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ 5 120U ( 1.4 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 62.5% sRGB",HD webcam,2 x 8GB DDR4,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , không đèn",Windows 11 Home SL,32.4 x 21.5 x 1.79 cm,"3 cell 40 Wh , Pin liền",1.4 kg,,,,HP 14,14-ep1011TU - 9Z2W3PA,9Z2W3PA,Bạc,Văn phòng,,,,,,,,
Laptop Asus TUF Gaming F15 - FX507ZC4-HN095W,19.990.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 4GB GDDR6 Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , IPS , 144Hz , không cảm ứng , 250 nits , Màn hình chống lóa , Adaptive Sync",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",Windows 11 Home,35.4 x 25.1 x 2.24 ~ 2.49 cm,"4 cell 56 Wh , Pin liền",2.2 kg,,,,ASUS TUF Gaming,TUF Gaming F15 - FX507ZC4-HN095W,90NR0GW2-M00670,Xám,Gaming,Dolby Atmos,,,,,,,
Laptop Asus Vivobook 15X OLED M3504YA-L1332W,17.790.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 7730U ( 2.0 GHz - 4.5 GHz / 16MB / 8 nhân, 16 luồng ), AMD",,Onboard graphics AMD Radeon™ Graphics,"15.6"" ( 1920 x 1080 ) Full HD 16:9 , OLED , 60Hz , không cảm ứng , 600 nits , 100% DCI-P3 , Màn hình gương",HD webcam,16GB (8GB + 8GB Onboard) DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / Power Delivery
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không đèn",Windows 11 Home,35.97 x 23.25 x 1.79 cm,"3 cell 50 Wh , Pin liền",1.6 kg,,,,ASUS Vivobook,Vivobook 15X OLED M3504YA-L1332W,90NB1181-M00DW0,Đen,Văn phòng,SonicMaster,,,,,,,
Laptop HP 15-fd1037TU - 9Z2W5PA,22.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ 7 150U ( 1.8 GHz - 5.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm,1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , có phím số , không đèn",Windows 11 Home,35.98 x 23.6 x 1.86 cm,"3 cell 41 Wh , Pin liền",1.6 kg,,,"Adapter, dây nguồn,…",HP 15,15-fd1037TU - 9Z2W5PA,9Z2W5PA,Bạc,Văn phòng,,,,,,,,
Laptop HP 14-ep1007TU - 9Z2W1PA,21.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ 7 150U ( 1.8 GHz - 5.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD 60Hz , không cảm ứng , 250 nits , 62.5% sRGB",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không đèn",Windows 11 Home,32.4 x 21.5 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.4 kg,,,,HP 14,14-ep1007TU - 9Z2W1PA,9Z2W1PA,Bạc,Văn phòng,,,,,,,,
