Product Name,Price,Sản phẩm,Tên Hãng,Model,Bộ vi xử lý,Card đồ họa,Bộ nhớ ram,Ổ cứng,Số cổng lưu trữ tối đa,Kiểu khe M.2 hỗ trợ,Màn hình,Kết nối,Cổng giao tiếp,Webcam,Bảo mật,Hệ điều hành,Pin,Kích thước,Trọng lượng,Màu sắc/ Chất liệu,Bộ VXL,Bộ nhớ,Ổ đĩa quang,Màu sắc/ Chất liệu,Thương hiệu,Sản phẩm,CPU,RAM,VGA,Camera,Wi-Fi,Bluetooth,LOA,Màu sắc,Cổng kết nối,Wifi,Chất liệu,Kích thước,Trọng lượng,Ram,Trọng Lượng,Bộ nhớ RAM,Nhận dạng vân tay,Ổ cứng/ Ổ đĩa quang,Âm thanh,Audio,Màu sắc,Đèn LED trên máy,Hãng sản xuất,Bộ vi xử lý,Bộ nhớ Ram,Ổ đĩa cứng,Đồ họa,WiFi,bluetooth,Pin (Battery),Khối lượng,Kết nối mạng LAN,SSD,Kết nối không dây,Khe đọc thẻ nhớ,Bảo mật vân tay,Card đồ hoạ,Đọc thẻ,Ổ đĩa quang (DVD),Giao tiếp mạng,Giao tiếp mạng - Communications,Cổng giao tiếp - Port,pin,NPU,Bộ xử lý,Cổng I/O,Nguồn,OS,Lưu trữ,Wireless,LAN,Đọc thẻ - Card reader,Cổng xuất hình,Hỗ trợ nâng cấp,Khả năng nâng cấp trong tương lai,Vga,Mô tả khác,Bộ VXL,Card màn hình,Kích thước màn hình,bàn phím,Thiết kế/ Chất liệu vỏ,card đồ họa,Khả năng nâng cấp ram,PIN,Mạng,Loại card đồ họa,Vân tay,Ổ đĩa cứng - SSD,Kết nối USB,Năm sản xuất,Chất liệu sản phẩm,Ổ cứng,Đọc thẻ nhớ,WIFI,Dung lượng RAM,Công nghệ âm thanh,Bộ xử lý - CPU,Bộ nhớ trong - Ram,Đèn bàn phím,wifi,Màn hình - Monitor,Card đồ hoạ - Video,Công nghệ CPU,Finger Print,Bộ nhớ trong,Chip đồ họa,Màn hình hiển thị,Ổ đĩa cứng - HDD,Tính năng đặc biệt,Loại đèn bàn phím,Dung lượng,Ổ đĩa quang (ODD),Kiểu Pin,Hệ điều hành (bản quyền) đi kèm,Kích thước (Dài x Rộng x Cao),Màn hìn,Pin(Battery),Phụ kiện kèm theo,Màu,webcam,Bàn phím,Chuẩn WIFI,Loa,Phụ kiện,Cạc đồ họa,Loại khe M.2,Keyboard + Mouse,Khe cắm mở rộng,Hệ điều hành tương thích,Công suất bộ sạc,Thông số (Lan/Wireless),"Wi-Fi, bluetooth",Màu sắc (Colour),Bàn phím,Hãng sãn xuất,Chuẩn Lan,Bàn Phím,Bộ nguồn,Phần mềm có sẵn,Thời lượng pin,Card mở rộng,Card VGA,"Wi-Fi,",Giao tiếp,Thẻ đọc,Kiểu bàn phím,Lan,Kết nối có dây (LAN),Chuẩn LAN,Card reader,Kết nối không dây,Ổ quang,Bảo mật Vân tay,,Keyboard,Khe mở rộng,Nhận dạng Vân tay,Chuẩn Wifi,Kiểu khe M.2 hỗ tr,bảo mật,Máy tính xách tay,Tính năng khác,Phụ kiện kèm,"Wifi, bluetooth",Bluetooth®,Kiểu khe M.2 hỗ trợ`,Chuẩn Wi-Fi,Other Supports
Laptop Lenovo Ideapad Slim 5 14IMH9 83DA006TVN Xám,21.890.000đ,Máy tính xách tay,Lenovo,14IMH9 83DA006TVN,"Intel® Core™ Ultra 5 125H (1.20GHz up to 4.50GHz, 18MB Cache)",Intel® Arc™ Graphics,16GB Soldered LPDDR5x-7467MHz,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,"14.0 inch WUXGA (1920x1200) OLED, 400nits, Glossy, 100% DCI-P3, DisplayHDR™ True Black 500","Wi-Fi® 6, 11ax 2x2, Bluetooth 5.2","1 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort™ 1.4
1 x HDMI® 1.4b
1 x Headphone / microphone combo jack (3.5mm)","FHD 1080p + IR with Privacy Shutter, ToF Sensor",,Windows® 11 Home,3Cell 57Wh,,1.48 kg,,,,,Xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Gaming ROG Zephyrus G16 GU603VU-N4019W Xám,41.890.000đ,,,ROG Zephyrus G16 GU603VU-N4019W,"Intel Core i7-13620H ( 2.4 GHz - 4.9 GHz / 24MB / 10 nhân, 16 luồng )",RTX 4050 6GB GDDR6,16GB Onbard DDR4 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 48GB ),512GB SSD M.2 NVMe,,,"16"" QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz IPS 500nits 100% DCI-P3 %, Anti-glare display",,"1x Thunderbolt™ 4 support DisplayPort™ / power delivery
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery
2x USB 3.2 Gen 2 Type-A
1x card reader (microSD) (UHS-II)
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack",,,Windows 11 Home,"4-cell, 90WHrs",,,,,,,,,,,,,,,,,,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,,35.5 x 24.3 x 1.99 ~ 2.23 cm,,,,,,,,,,,Asus,,,,,,Bluetooth® 5.3 Wireless Card,,2.0 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full box,Xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x RJ45 LAN port,,,,,,,,,,,,,,,,,,,,,
"Laptop Asus ROG Strix G16 G614JV-N4156W Xám  QHD+, IPS 240Hz, W11SL",37.590.000đ,,,Asus ROG Strix G16 G614JV-N4156W,,"NVIDIA® GeForce RTX™ 4060 8GB GDDR6 ROG Boost: 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)",,512GB PCIe® 4.0 NVMe™ M.2 SSD (2 slot M.2 SSD),,,"16"" WQXGA (2560 x 1600) 16:10 IPS 2.5K, 240Hz, 3ms, 100% DCI-P3, Anti-Glare, G-Sync, đạt chuẩn Pantone, ROG Nebula Display",,"2x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
1x 3.5mm Combo Audio Jack
1x HDMI 2.1 FRL",720P HD camera,,Windows 11 Home,4 Cell 90WHrs,,,,,,,,,,,,,,,,,,,,,35.4 x 26.4 x 2.26 ~ 3.04 cm,,,,,,,,"2-speaker system with Smart Amplifier Technology, Dolby Atmos",,,,"I13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz 24M  Cache, up to 4.9 GHz, 14 cores: 6 P-cores and 8 E-cores)","16GB (1x16GB) DDR5 4800MHz (2x SO-DIMM socket, nâng cấp tối đa 32GB)",,,,,,2.5 kg,,,,,,,,,,,,,,,,,,,"Wi-Fi 6E(802.11ax) (Triple band) 2*2, bluetooth v5.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backlit Chiclet Keyboard 4-Zone RGB,,,,,,,,,,,,,,Asus,,,,,,,,,,,,,10/100/1000 Mbps,,,,,,,,,,,,,,,,,,,,
Laptop MSI Gaming GF63 12UC-803VN,16.890.000đ,,,MSI GF63 12UC-803VN,,SSD 512GB M.2,,,,,"15.6"" FHD (1920 x 1080) 144Hz, IPS",,"1 x HDMI
1 x USB Type-C (support DisplayPort)
3 x USB 3.2 & USB 2.0
1 x DC-in
Jack Audio™ 3.5mm",HD 720P,,Windows 11 Home,52WHrs,359 x 254 x 21.5 mm,1.85 kg,,,,,,,,Intel® Core i5-12450H Gen 12th tốc độ tối đa: 4.4GHz 8 Cores 12 Threads 12MB Cache,8GB DDR4 3200MHz,,,,,,Đen,,,,,,,,,,,,,,,MSI,,,,,,Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nvidia Geforce RTX 3050 4GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wi-Fi 6 802.11ax,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN RJ45 Gigabit,,,,,,,,,,,,,,,,,,,
Laptop Asus TUF Gaming FX507ZC4-HN095W Xám,19.990.000đ,,,TUF Gaming FX507ZC4-HN095W,"Intel Core i5-12500H (upto 4.50 GHz, 18MB)",NVIDIA® GeForce RTX™ 3050 4GB GDDR6,"16GB (2x8GB) DDR4-3200 (2 khe, tối đa 32GB)",512GB SSD M2 PCIe® 4.0 NVMe,,,,,"1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 
1x 3.5mm Combo Audio Jack",,,Windows 11 Home,,,,,,,,,,,,,,720P HD camera,,,,,,Wi-Fi 6(802.11ax) (Dual band) 2*2,,35.4 x 25.1 x 2.24 ~ 2.49 cm,,,,,,,,,,,Asus,,,,,,Bluetooth v5.2,,2.20 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.6-inch FHD (1920 x 1080) 16:9, 144Hz, Value IPS-level, 250 nits, SRGB 63%, anti-glare display","4-cell, 56WHrs",,Xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo Yoga 7 2 in1 14IML9 83DJ001FVN Xám,28.490.000đ,Máy tính xách tay,Lenovo,14IML9 83DJ001FVN,"Intel® Core™ Ultra 7 155H (1.40GHz up to 4.80GHz, 24MB Cache)",Integrated Intel® Arc™ Graphics,16GB Soldered LPDDR5x-7467MHz,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,"14.0inch WUXGA (1920x1200) OLED, 400nits, Glossy, Anti-fingerprint, 100% DCI-P3, 60Hz, Dolby® Vision®, DisplayHDR™ True Black 500, TÜV Low Blue Light, Glass, Touch - Màn hình cảm ứng","Wi-Fi® 6E, 11ax 2x2; Bluetooth 5.3","1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with USB PD 3.1 and DisplayPort™ 2.1
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",FHD 1080p + IR with Privacy Shutter,,Windows® 11 Home Single Language + Office Home & Student 2021 bản quyền,71WHrs,,1.49 kg,,,,,Xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP 14-ep1009TU 9Z2W2PA Bạc,19.490.000đ,Máy tính xách tay,Hp,Pavilion 14-ep1009TU 9Z2W2PA,,Intel Iris Xe Graphics,,1TB PCIe NVMe,,,"14 inch FHD, micro-edge, Anti-glare, 250 nits, 45% NTSC",,"1 x USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge);
2 x USB Type-A 5Gbps signaling rate
1 x HDMI 2.1
1 x headphone/microphone combo",,,Windows 11 Home SL,3Cell 41Wh,32.2 x 21 x 1.99 cm,1.4 kg,Bạc,"Intel® Core™ 5-120U (12MB Cache, up to 5.0GHz)",16GB DDR4-3200MHz,,,,,,,,,,Bluetooth 5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi 802.11ax (Wifi 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP 14-ep1011TU 9Z2W3PA Bạc,18.490.000đ,Máy tính xách tay,Hp,Pavilion 14-ep1011TU 9Z2W3PA,,Intel Iris Xe Graphics,,512GB PCIe NVMe,,,"14 inch FHD, micro-edge, Anti-glare, 250 nits, 45% NTSC",,"1 x USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge);
2 x USB Type-A 5Gbps signaling rate
1 x HDMI 2.1
1 x headphone/microphone combo",,,Windows 11 Home SL,3Cell 41Wh,32.2 x 21 x 1.99 cm,1.4 kg,Bạc,"Intel® Core™ 5-120U (12MB Cache, up to 5.0GHz)",16GB DDR4-3200MHz,,,,,,,,,,Bluetooth 5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi 802.11ax (Wifi 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 16 5640 N6I7512W1 Xanh,30.990.000đ,,,Dell Inspiron 16 5640 N6I7512W1,,,,1TB M.2 PCIe NVMe SSD,,,"16.0inch 2.5K(2560x1600) 16:10, Anti-Glare, Non-Touch, 300nits, WVA, Display w/ ComfortView Plus Support",,"2 x USB 3.2 Gen 1 (5 Gbps) ports
1 x USB 3.2 Gen 2 (10 Gbps) Type-C®port with DisplayPort™ 1.4 and PowerDelivery
1 x headset (headphone and microphone combo) port
1 x HDMI 1.4 port
1 x power-adapter port","1080p at 30 fps FHD camera, Dual-array microphones, built-in camera shutter",,Win 11,4Cell 54WHrs,,,,,,,,,,Intel® Core™ 7-150U,16GB DDR5 5200MHz (2x8GB),,,,Bluetooth 5.,,Xanh,,,,356 x 251 x 17.9 mm,1.87 kg,,,,,,,,,,Dell,,,,,,,,,,,,,,,,,"Realtek Wi-Fi 6E RTL8852CE, 2x2, 802.11ax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVIDIA GeForce MX570A 2GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 x SD card slot,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 14 5440 7FN5J Xanh,24.990.000đ,,,Dell Inspiron 14 5440 (7FN5J),,,,1TB SSD,,,14 inch (1920 x 1200) FHD+,,,,,Windows 11 Home SL,,,,,,,,,,,Intel Core  i7-150U,16GB,,,,,,Xanh,,,,,,,,,,,,,,,Dell,,,,,,,,,,,,,,Vga Intel Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 14 5440,19.490.000đ,,,Dell Inspiron 14 5440  (NDY5V1),,,,512GB SSD M.2 NVMe,,,14.0inch Full HD+ (1920x1200) IPS LCD,,,,Vân tay,Windows 11 Home SL,"3 cell 41 Wh , Pin liền",31.40 x 22.62 x 1.99 cm,,,,,,,,,"Intel Core i5-1334U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng )",2 x 8GB DDR5 4400MHz,,,,,,Xanh,"1 x USB Type C , 2 x USB 3.2 , 1 x SD card slot , Audio combo",,,,1.5 kg,,,,,,,,,,Dell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WiFi 802.11ax (Wifi 6) , Bluetooth 5.3",,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 14 5440,15.890.000đ,,,Dell Inspiron 14 5440  (NDY5V),,,,512GB SSD,,,14 inch FHD (1920 x 1080),,,,,Windows 11 Home SL,,,,,,,,,,,Intel Core i3-1305U (3.3GHz~ 4.5GHz) 5 Cores 6 Threads,8GB DDR5,,,,,,Xanh,,,,,,,,,,,,,,,Dell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop MSI Gaming Sword 16 HX B14VEKG-039VN Xám đậm,33.790.000đ,Máy tính xách tay,MSI,MSI  Sword 16 HX B14VEKG-039VN,"Intel® Core™ i7-14700HX Gen 14th (5.5GHz) 20 Cores 28 Threads, 33MB Cache",Nvidia Geforce RTX 4050 6GB GDDR6 + MUX switch,16GB DDR5 5200MHz,"SSD 1TB M.2 PCIe Gen4, Gen5",,,16.0-inch (16:10) FHD+ (1920*1200) IPS 144Hz,"Wi-Fi 6E 802.11ax +  Bluetooth 5.3, LAN RJ45 Gigabit","1 x HDMI
1 x USB TypeC (support DisplayPort / Power Delivery)
3 x USB 3.2 & USB 2.0
1 x DC-in
Jack Audio™ 3.5mm",HD 720P,,Windows 11 Home,65WHrs Battery,359 x 266 x 22 mm,2.3 kg,,,,không,Xám đậm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiclet Keyboard RGB LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Vivobook S14 S5406MA-PP136W Xanh,24.990.000đ,Máy tính xách tay,Asus,Vivobook S14 S5406MA-PP136W,,Intel® Arc™ Graphics,,1TB M.2 NVMe™ PCIe® 4.0 SSD,,,"14.0inch 3K (2880 x 1800) 16:10, Lumina OLED, 120Hz, 400nits, 100% DCI-P3","Wi-Fi 6E(802.11ax) (Dual band) 2*2, Bluetooth 5.3","2 x USB 3.2 Thế hệ 1 Loại A
2 x Thunderbolt™ 4 hỗ trợ màn hình / power delivery
1 x HDMI 2.1 TMDS
1 x Giắc Âm thanh Kết hợp 3,5 mm",,,Windows 11 Home,"4Cell 75WHrs, 4S1P",31.05 x 22.19 x 1.39 ~ 1.59 cm,1.30 kg,,"Intel® Core™ Ultra 5 125H (3.60GHz up to 4.50GHz, 18MB Cache)",,không,,,,,,,,,,,Xanh,,,,,,,,16GB LPDDR5X 7467MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo ThinkPad E16 Gen 1 21JN00FGVA Đen,22.490.000đ,,,21JN00FGVA,,,,,,,"16"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC",,"1x HDMI® 2.1, up to 4K/60Hz
1x USB 2.0
1x USB 3.2 Gen 1 (Always On)
1x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)
1x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)
1x Ethernet (RJ-45)
1x Headphone / microphone combo jack (3.5mm)",Có,,Windows® 11 Home,,,,,,,,,,,,,,,,,,,,,,356 x 247 x 19.8 mm,,,,,,,,,,,Lenovo,"Intel® Core™ i7-13700H, 14C (6P + 8E) / 20T, P-core 2.4 / 5.0GHz, E-core 1.8 / 3.7GHz, 24MB",16GB Soldered DDR4-3200 + 16GB SO-DIMM DDR4-3200,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0,Intel® Iris® Xe Graphics,"Wi-Fi 6E 11ax, 2x2",Bluetooth v5.1,3 cell,"1,97 Kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo ThinkPad E16 Gen 1 21JN00FQVN Đen,27.590.000đ,,,21JN00FQVN,,,,,,,"16"" WUXGA (1920x1200) IPS 300nits Anti-glare, 45% NTSC",,"1x HDMI® 2.1, up to 4K/60Hz
1x USB 2.0
1x USB 3.2 Gen 1 (Always On)
1x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)
1x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)
1x Ethernet (RJ-45)
1x Headphone / microphone combo jack (3.5mm)",HD 720p with E-shutter,,Windows® 11 Home,,,,,,,,,,,,,,,,,,,,,,356 x 247 x 19.8 mm,,,,,,,,,,,Lenovo,"Intel® Core™ i7-13700H, 14C (6P + 8E) / 20T, P-core 2.4 / 5.0GHz, E-core 1.8 / 3.7GHz, 24MB",16GB Soldered DDR4-3200 + 16GB SO-DIMM DDR4-3200,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe® Opal 2.0,Integrated Intel® Iris® Xe Graphics,"Wi-Fi 6E 11ax, 2x2",Bluetooth v5.1,3 cell,"1,97 Kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo LOQ 15ARP9 83JC003YVN Xám,28.790.000đ,,,LOQ 15ARP9 83JC003YVN,,,,,,,"15.6inch FHD (1920x1080) IPS, 300nits, Anti-glare, 100% sRGB, 144Hz, G-SYNC®",,"3 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1 x HDMI® 2.1, up to 8K/60Hz
1 x Headphone / microphone combo jack (3.5mm)
1 x Ethernet (RJ-45)
1 x Power connector",HD 720p with E-shutter,,Windows® 11 Home,,,,,,,,,,,,,,,,,,,,,,359.86 x 258.7 x 21.9-23.9 mm mm,,,,,,,,,,,Lenovo,"AMD Ryzen™ 7-7435HS (3.10GHz up to 4.50GHz, 16MB Cache)","24GB (2x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 4060 8GB GDDR6,"Wi-Fi® 6, 11ax 2x2",Bluetooth v5.2,4Cell 60WHrs,2.38 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Zenbook 14 OLED UX3405MA-PP475W Xanh,34.990.000đ,,,Zenbook 14 OLED UX3405MA-PP475W,,,,,1 x M.2 NVMe,M.2 NVMe,"14.0 inch 3K (2880 x 1800) OLED 16:10 120Hz, 600  nits, 100% DCI-P3 Glossy display, TÜV Rheinland-certified",,,,"McAfee® dùng thử miễn phí 30 ngày
Webcam hồng ngoại có hỗ trợ Windows Hello
Trusted Platform Module (TPM) 2.0",Windows 11 Home,"4-cell Li-ion, 75 Wh",,,,,,,,,,,,,FHD IR / 3DNR / ACS camera - nhận diện khuôn mặt,,,,Xanh,"1x USB 3.2 Gen 1 Type-A
2x ThunderBolt™ 4  Type-C
1x HDMI 2.1
1x Jack Audio™ 3.5m",,,3312.42 x 220.05 x 14.9mm,,,,,,,,Harman/kardon (Premium) with Cortana and Alexa voice-recognition support,,,,"Intel® Core™ Ultra 9 185H (3.80GHz up to 5.10GHz, 24MB Cache)",32GB LPDDR5X 7467MHz on board,1TB M.2 NVMe™ PCIe® 4.0 SSD,Intel Arc Graphics,,Bluetooth 5.3,,1.2 kg,,,,,,,,,,,,,,,,,,,WiFi 802.11ax (Wifi 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chiclet Keyboard
LED Trắng
Numberpad",,,"Adapter, tài liệu, sách",,,Keyboard Laptop + Touchpad,,,,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 14 5440 N4I7204W1 IceBlue,23.550.000đ,Máy tính xách tay,Dell,Dell Inspiron 14 5440 N4I7204W1,,Intel Iris Xe Graphics,,512GB M.2 PCIe NVMe SSD,,,"14.0inch  FHD+ (1920 x 1200) 16:10, Anti-Glare, Non-Touch, 250nits, WVA Display with ComfortView Support",Wi-Fi 6 (WiFi 802.11ax) và Bluetooth 5.2,"1 headset port;
1 HDMI 1.4 port;
2 USB 3.2 Gen 1 ports;
1 USB Type-C Thunderbolt 4.0 port with DisplayPort
1 SD-card slot","720p at 30 fps HD RGB camera, Single microphones",,Windows 11 Home,4Cell 54WHrs,314 x 226 x 16.49 mm,1.56 kg,,"Intel Core i7-150U (1.80Ghz up to 5.40GHz, 12MB Cache)",,,Xanh,,,,,,,,,,,,,,,,,,16GB DDR5 5200MHz,,,,,,,,,,,,,,,,,,802.11ax 2x2 WiFi and Bluetooth 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Dell Inspiron 5440 N4I5211W1 IceBlue,20.990.000đ,Máy tính xách tay,Dell,Dell Inspiron 5440 N4I5211W1,,Intel Iris Xe Graphics,,512GB M.2 PCIe NVMe SSD,,,"14.0 inch FHD+ (1920 x 1200) 16:10, Anti-Glare, Non-Touch, 250nits, WVA Display with ComfortView Support",Wi-Fi 6 (WiFi 802.11ax) và Bluetooth 5.2,"1 headset port;
1 HDMI 1.4 port;
2 USB 3.2 Gen 1 ports;
1 USB Type-C Thunderbolt 4.0 port with DisplayPort
1 SD-card slot","720p at 30 fps HD camera, single-integrated microphone",Nhận dạng vân tay,Windows 11 Home + Office Student,4 cell,314 x 226 x 16.49 mm,1.56 kg,,"Intel Core i5-120U (1.40Ghz up to 5.00GHz, 12MB Cache)",,,Xanh,,,,,,,,,,,,,,,,,,16GB DDR5 5200MHz,,,,,,,,,,,,,,,,,,802.11ax 2x2 WiFi and Bluetooth 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
